DATE,Y,I,C,L,K
1975Q1,-0.019893283,-0.039889672,-0.020442478,-0.018040208,0.001347258
1975Q2,-0.017113335,-0.085266952,-0.014600641,-0.016433327,-0.043509736
1975Q3,-0.014366806,-0.048872407,-0.013202896,-0.004480739,-0.031278094
1975Q4,-0.015779741,-0.066388204,-0.011486888,0.00217797,-0.025102583
1976Q1,-0.001697122,-0.008169185,-0.000406758,0.009085359,-0.007204444
1976Q2,0.00288074,0.004160277,0.004053941,0.002193437,-0.024006967
1976Q3,-0.001696563,-0.021491654,0.001788034,0.005608345,-0.034566034
1976Q4,0.000949713,-0.029840582,0.0050659,3.22E-05,-0.021084821
1977Q1,0.006769541,-0.004577968,0.008948667,-0.000680387,-0.00221223
1977Q2,0.007019859,0.036451363,0.004903491,0.011452637,0.021735063
1977Q3,0.007257732,0.053147763,0.003630655,0.008151625,0.008386611
1977Q4,0.010698049,0.021028869,0.01152711,0.008993646,0.00429643
1978Q1,0.009872572,0.018531814,0.010621771,-0.003806953,-0.004326977
1978Q2,0.030935007,0.062515649,0.029190543,0.009465341,0.055164708
1978Q3,0.026328169,0.073884605,0.023020512,0.01068749,0.070445933
1978Q4,0.029428844,0.0947476,0.023473663,0.012099924,0.079962292
1979Q1,0.028858637,0.086327475,0.023034393,0.012570535,0.070500589
1979Q2,0.023283142,0.087588791,0.015754178,-0.001517953,0.061075154
1979Q3,0.022842552,0.068800012,0.017349416,0.003718963,0.071481954
1979Q4,0.015759902,0.034067715,0.014202068,0.003032842,0.05636182
1980Q1,0.009901569,0.027921876,0.008150343,0.000957915,0.046548547
1980Q2,-0.020313689,-0.059605648,-0.015307534,-0.011849014,-0.033592153
1980Q3,-0.026001904,-0.1287692,-0.013293003,-0.012704632,-0.033886325
1980Q4,-0.00916519,-0.034226329,-0.005734233,0.00234123,-0.008720656
1981Q1,0.001467724,0.064982448,-0.007027072,0.004426688,0.004516407
1981Q2,-0.007078997,0.034854041,-0.013313263,0.008324248,-0.003503919
1981Q3,-0.004663941,0.080120339,-0.016854365,0.000567148,-0.016092161
1981Q4,-0.021641041,0.035244196,-0.02941745,-0.01176767,-0.01900345
1982Q1,-0.032319904,-0.066598683,-0.027815035,-0.030229674,-0.051635086
1982Q2,-0.033058789,-0.075270179,-0.027503383,-0.017903073,-0.080261669
1982Q3,-0.039607624,-0.094525763,-0.031827519,-0.020921614,-0.106385079
1982Q4,-0.041827143,-0.183211051,-0.023575503,-0.023324708,-0.110047458
1983Q1,-0.038384174,-0.170484212,-0.021475779,-0.012550838,-0.097276735
1983Q2,-0.021456142,-0.103940392,-0.011030862,-0.000114019,-0.080633113
1983Q3,-0.011974759,-0.066814367,-0.004907066,0.008871824,-0.046374919
1983Q4,0.000982713,-0.003366472,0.001780473,0.01014522,-0.012163323
1984Q1,0.009292529,0.076457703,-0.000604463,0.014927703,0.003327548
1984Q2,0.018797529,0.092042123,0.007680188,0.011746748,0.026553143
1984Q3,0.013571453,0.097040541,0.001295254,0.005520465,0.032726075
1984Q4,0.011849188,0.076402672,0.002475906,0.003479433,0.043219541
1985Q1,0.013158435,0.035049094,0.009930989,-0.002070395,0.044136004
1985Q2,0.013019556,0.043577771,0.007960121,0.001784291,0.048514197
1985Q3,0.015046149,0.018067237,0.014200053,0.000892597,0.03534313
1985Q4,0.010150814,0.034099018,0.006494281,0.004035802,0.038657128
1986Q1,0.006651666,0.027338814,0.003548297,0.001815801,0.030842527
1986Q2,0.008215458,0.004389592,0.00873141,-8.33E-05,0.026383111
1986Q3,0.00663228,-0.031598729,0.012861334,-0.000838214,0.023974382
1986Q4,0.002958985,-0.029994768,0.008289034,0.000205178,0.017238774
1987Q1,-0.0009626,-0.005964542,-0.000256593,0.007638355,0.002392642
1987Q2,0.001973369,-0.009246286,0.003137757,0.004842734,0.007533264
1987Q3,0.00069999,-0.021231703,0.003519812,0.003103436,0.012957398
1987Q4,0.002920889,0.032887424,-0.001893336,0.004600362,0.007893782
1988Q1,0.005507733,-0.012078192,0.008185013,0.004883814,-0.003904272
1988Q2,0.012016936,0.007914625,0.01248252,0.00550525,0.010233366
1988Q3,0.009854873,0.007823385,0.010574569,0.003997943,0.009647194
1988Q4,0.015895586,0.028884872,0.0142049,0.005895438,0.017238978
1989Q1,0.019993875,0.067327781,0.012395167,0.009238188,0.024401557
1989Q2,0.017345034,0.060580366,0.009970443,0.006390696,0.020968885
1989Q3,0.016547543,0.046192016,0.011385499,0.00205407,0.033035286
1989Q4,0.012971661,0.026683366,0.010705964,-0.004069798,0.021586253
1990Q1,0.012212433,0.035429514,0.008528616,-0.005033911,0.03130713
1990Q2,0.013982343,0.033816398,0.010679521,-0.004187276,0.014883916
1990Q3,0.006493511,0.01380825,0.005764272,-0.006483004,0.008629437
1990Q4,-0.013181571,-0.041374647,-0.008559587,-0.011320952,-0.013454662
1991Q1,-0.023903989,-0.070552511,-0.01696933,-0.015731187,-0.036731895
1991Q2,-0.021910791,-0.072309117,-0.014880537,-0.012542025,-0.036966655
1991Q3,-0.023490384,-0.063044692,-0.017931213,-0.006061903,-0.04478745
1991Q4,-0.028127102,-0.054423203,-0.024031793,-0.005635228,-0.048448797
1992Q1,-0.02038522,-0.083352499,-0.010676793,-0.005861265,-0.038961256
1992Q2,-0.010215168,-0.038734771,-0.005722556,-0.001054525,-0.022312275
